nohup: ignoring input
h2h progress 100/300
h2h progress 101/300
h2h progress 102/300
h2h progress 103/300
h2h progress 104/300
h2h progress 105/300
h2h progress 106/300
h2h progress 107/300
h2h progress 108/300
h2h progress 109/300
h2h progress 110/300
h2h progress 111/300
h2h progress 112/300
h2h progress 113/300
h2h progress 114/300
h2h progress 115/300
h2h progress 116/300
h2h progress 117/300
h2h progress 118/300
h2h progress 119/300
h2h progress 120/300
h2h progress 121/300
h2h progress 122/300
h2h progress 123/300
h2h progress 124/300
h2h progress 125/300
h2h progress 126/300
h2h progress 127/300
h2h progress 128/300
h2h progress 129/300
h2h progress 130/300
h2h progress 131/300
h2h progress 132/300
h2h progress 133/300
h2h progress 134/300
h2h progress 135/300
h2h progress 136/300
h2h progress 137/300
h2h progress 138/300
h2h progress 139/300
h2h progress 140/300
h2h progress 141/300
h2h progress 142/300
h2h progress 143/300
h2h progress 144/300
h2h progress 145/300
h2h progress 146/300
h2h progress 147/300
h2h progress 148/300
h2h progress 149/300
h2h progress 150/300
h2h progress 151/300
h2h progress 152/300
h2h progress 153/300
h2h progress 154/300
h2h progress 155/300
h2h progress 156/300
h2h progress 157/300
h2h progress 158/300
h2h progress 159/300
h2h progress 160/300
h2h progress 161/300
h2h progress 162/300
h2h progress 163/300
h2h progress 164/300
h2h progress 165/300
h2h progress 166/300
h2h progress 167/300
h2h progress 168/300
h2h progress 169/300
h2h progress 170/300
h2h progress 171/300
h2h progress 172/300
h2h progress 173/300
h2h progress 174/300
h2h progress 175/300
h2h progress 176/300
h2h progress 177/300
h2h progress 178/300
h2h progress 179/300
h2h progress 180/300
h2h progress 181/300
h2h progress 182/300
h2h progress 183/300
h2h progress 184/300
h2h progress 185/300
h2h progress 186/300
h2h progress 187/300
h2h progress 188/300
h2h progress 189/300
h2h progress 190/300
h2h progress 191/300
h2h progress 192/300
h2h progress 193/300
h2h progress 194/300
h2h progress 195/300
h2h progress 196/300
h2h progress 197/300
h2h progress 198/300
h2h progress 199/300
h2h progress 200/300
h2h progress 201/300
h2h progress 202/300
h2h progress 203/300
h2h progress 204/300
h2h progress 205/300
h2h progress 206/300
h2h progress 207/300
h2h progress 208/300
h2h progress 209/300
h2h progress 210/300
h2h progress 211/300
h2h progress 212/300
h2h progress 213/300
h2h progress 214/300
h2h progress 215/300
h2h progress 216/300
h2h progress 217/300
h2h progress 218/300
h2h progress 219/300
h2h progress 220/300
h2h progress 221/300
h2h progress 222/300
h2h progress 223/300
h2h progress 224/300
h2h progress 225/300
h2h progress 226/300
h2h progress 227/300
h2h progress 228/300
h2h progress 229/300
h2h progress 230/300
h2h progress 231/300
h2h progress 232/300
h2h progress 233/300
h2h progress 234/300
h2h progress 235/300
h2h progress 236/300
h2h progress 237/300
h2h progress 238/300
h2h progress 239/300
h2h progress 240/300
h2h progress 241/300
h2h progress 242/300
h2h progress 243/300
h2h progress 244/300
h2h progress 245/300
h2h progress 246/300
h2h progress 247/300
h2h progress 248/300
h2h progress 249/300
h2h progress 250/300
h2h progress 251/300
h2h progress 252/300
h2h progress 253/300
h2h progress 254/300
h2h progress 255/300
h2h progress 256/300
h2h progress 257/300
h2h progress 258/300
h2h progress 259/300
h2h progress 260/300
h2h progress 261/300
h2h progress 262/300
h2h progress 263/300
h2h progress 264/300
h2h progress 265/300
h2h progress 266/300
h2h progress 267/300
h2h progress 268/300
h2h progress 269/300
h2h progress 270/300
h2h progress 271/300
h2h progress 272/300
h2h progress 273/300
h2h progress 274/300
h2h progress 275/300
h2h progress 276/300
h2h progress 277/300
h2h progress 278/300
h2h progress 279/300
h2h progress 280/300
h2h progress 281/300
h2h progress 282/300
h2h progress 283/300
h2h progress 284/300
h2h progress 285/300
h2h progress 286/300
h2h progress 287/300
h2h progress 288/300
h2h progress 289/300
h2h progress 290/300
h2h progress 291/300
h2h progress 292/300
h2h progress 293/300
h2h progress 294/300
h2h progress 295/300
h2h progress 296/300
h2h progress 297/300
h2h progress 298/300
h2h progress 299/300
h2h progress 300/300

lineup=['toprakthegoat-v1', 'slayer-v1', 'inncenta-heuristic', 'alinebidal-final']
  alinebidal-final: WR=0.193 (58/300) Wilson [0.15263726685545376, 0.2417837554956011]
  inncenta-heuristic: WR=0.163 (49/300) Wilson [0.1258064331944026, 0.20937316743012502]
  slayer-v1: WR=0.343 (103/300) Wilson [0.29188793516981404, 0.398740195813877]
  toprakthegoat-v1: WR=0.300 (90/300) Wilson [0.2509396637848768, 0.35411752470494157]
oracle WR=0.300 Wilson [0.2509396637848768, 0.35411752470494157]
  vs alinebidal-final: WR=0.193 (58/300) gap=+0.107 margin=1463.4 ± SE 1303.9
  vs inncenta-heuristic: WR=0.163 (49/300) gap=+0.137 margin=2969.5 ± SE 1202.3
  vs slayer-v1: WR=0.343 (103/300) gap=-0.043 margin=-4187.3 ± SE 1549.0
{
  "completed_games": 300,
  "disclaimer": "These are ppo-plus-v2 simulator results for ASU-inspired reconstructions; they do not reproduce or estimate either cited paper's reported win rates.",
  "frozen_spec_hash": "9ab1907e0de1af4b253ce36ffa107c4fdb5e2b913858ef87c362423e61a6fd74",
  "game_timeout_s": null,
  "games": 300,
  "lineup": [
    "toprakthegoat-v1",
    "slayer-v1",
    "inncenta-heuristic",
    "alinebidal-final"
  ],
  "live": false,
  "oracle_config": {
    "auction": null,
    "auction_kind": "inncenta",
    "build_first": null,
    "c_puct": 1.5,
    "cash_gate": null,
    "completing_trade": null,
    "deadline_s": 5.0,
    "denial": null,
    "denial_weight": 1.0,
    "early_stop_min_sims": 16,
    "early_stop_visit_lead": 8,
    "family_body": "one_ply",
    "inncenta_trade": null,
    "leaf": "rollout",
    "leaf_checkpoint": null,
    "lethal_jail": null,
    "margin_temperature": 2000.0,
    "max_depth": 64,
    "max_width": 16,
    "networth_mix": 0.0,
    "one_ply": null,
    "one_ply_trades": null,
    "phase_switch": null,
    "prior_peak": 0.55,
    "race_buy": null,
    "rollout_horizon": 30,
    "rollouts_per_leaf": 2,
    "simulations": 32,
    "solvency": null
  },
  "oracle_focus": {
    "games": 300,
    "wilson_95": [
      0.2509396637848768,
      0.35411752470494157
    ],
    "win_rate": 0.3,
    "wins": 90
  },
  "oracle_vs_field": {
    "opponents": {
      "alinebidal-final": {
        "games": 300,
        "net_worth_margin": {
          "beats_asu_on_margin": true,
          "beats_other_on_margin": true,
          "mean": 1463.43,
          "mean_minus_se": 159.5780738313108,
          "mean_plus_se": 2767.281926168689,
          "n": 300,
          "oracle_richer": 105,
          "oracle_richer_rate": 0.35,
          "se": 1303.8519261686893,
          "std": 22583.377816707147
        },
        "oracle_wilson_lower_beats": true,
        "rate_gap": 0.10666666666666666,
        "wilson_95": [
          0.15263726685545376,
          0.2417837554956011
        ],
        "win_rate": 0.19333333333333333,
        "wins": 58
      },
      "inncenta-heuristic": {
        "games": 300,
        "net_worth_margin": {
          "beats_asu_on_margin": true,
          "beats_other_on_margin": true,
          "mean": 2969.4983333333334,
          "mean_minus_se": 1767.216722806209,
          "mean_plus_se": 4171.779943860458,
          "n": 300,
          "oracle_richer": 102,
          "oracle_richer_rate": 0.34,
          "se": 1202.2816105271245,
          "std": 20824.128344387165
        },
        "oracle_wilson_lower_beats": true,
        "rate_gap": 0.13666666666666666,
        "wilson_95": [
          0.1258064331944026,
          0.20937316743012502
        ],
        "win_rate": 0.16333333333333333,
        "wins": 49
      },
      "slayer-v1": {
        "games": 300,
        "net_worth_margin": {
          "beats_asu_on_margin": false,
          "beats_other_on_margin": false,
          "mean": -4187.3116666666665,
          "mean_minus_se": -5736.283888218575,
          "mean_plus_se": -2638.339445114758,
          "n": 300,
          "oracle_richer": 100,
          "oracle_richer_rate": 0.3333333333333333,
          "se": 1548.9722215519087,
          "std": 26828.985872407415
        },
        "oracle_wilson_lower_beats": false,
        "rate_gap": -0.043333333333333335,
        "wilson_95": [
          0.29188793516981404,
          0.398740195813877
        ],
        "win_rate": 0.3433333333333333,
        "wins": 103
      }
    },
    "oracle_id": "toprakthegoat-v1",
    "oracle_wilson_95": [
      0.2509396637848768,
      0.35411752470494157
    ],
    "oracle_win_rate": 0.3
  },
  "ruleset": "ppo-plus-v2",
  "seed": 9960000,
  "timeouts": 0,
  "truncations": 0,
  "turn_deadline_s": null,
  "win_rates": {
    "alinebidal-final": {
      "games": 300,
      "wilson_95": [
        0.15263726685545376,
        0.2417837554956011
      ],
      "win_rate": 0.19333333333333333,
      "win_rate_percent": 19.333333333333332,
      "wins": 58
    },
    "inncenta-heuristic": {
      "games": 300,
      "wilson_95": [
        0.1258064331944026,
        0.20937316743012502
      ],
      "win_rate": 0.16333333333333333,
      "win_rate_percent": 16.333333333333332,
      "wins": 49
    },
    "slayer-v1": {
      "games": 300,
      "wilson_95": [
        0.29188793516981404,
        0.398740195813877
      ],
      "win_rate": 0.3433333333333333,
      "win_rate_percent": 34.333333333333336,
      "wins": 103
    },
    "toprakthegoat-v1": {
      "games": 300,
      "wilson_95": [
        0.2509396637848768,
        0.35411752470494157
      ],
      "win_rate": 0.3,
      "win_rate_percent": 30.0,
      "wins": 90
    }
  },
  "workers": 8
}
